id;name;price;link;description
319;Комод "Лофт";19990 рублей;https://example.com/product169;Комод из металла и дерева, цвет: черный + светлое дерево. Размер: 100х50х80 см. Стиль: индустриальный.
320;Декоративная гирлянда "Свет";1490 рублей;https://example.com/product170;Гирлянда из теплых светодиодов, длина: 5 метров. Стиль: универсальный.
321;Вешалка "Стойка";8990 рублей;https://example.com/product171;Напольная вешалка из дерева и металла, цвет: темное дерево + черный. Высота: 180 см. Стиль: современный.
322;Декоративная корзина "Плетеная";2790 рублей;https://example.com/product172;Корзина из ротанга, цвет: натуральный. Размер: 40х40х30 см. Стиль: эко.
323;Светильник "Подвес";6990 рублей;https://example.com/product173;Подвесной светильник из металла, цвет: медь. Диаметр: 30 см. Стиль: лофт.
324;Декоративная рамка "Фото";990 рублей;https://example.com/product174;Рамка для фотографий из дерева, цвет: белый. Размер: 20х30 см. Стиль: скандинавский.
325;Плед "Мягкий";3990 рублей;https://example.com/product175;Плед из микрофибры, цвет: серый. Размер: 150х200 см. Стиль: универсальный.
326;Декоративная подушка "Цветы";1490 рублей;https://example.com/product176;Подушка с цветочным принтом, размер: 50х50 см. Материал: хлопок. Стиль: прованс.
327;Настенный крючок "Дерево";890 рублей;https://example.com/product177;Крючок из дерева, цвет: светлое дерево. Размер: 10х10 см. Стиль: эко.
328;Столик "Журнальный";12990 рублей;https://example.com/product178;Журнальный столик из стекла и металла, цвет: прозрачный + черный. Размер: 60х60х40 см. Стиль: современный.
329;Декоративная свеча "Спокойствие";1290 рублей;https://example.com/product179;Ароматическая свеча в керамическом стакане, объем: 300 мл. Аромат: лаванда. Горение до 60 часов.
330;Картина "Море";10990 рублей;https://example.com/product180;Картина маслом на холсте, размер: 120х80 см. Цветовая гамма: синий, белый. Стиль: морской.
331;Пуф "Куб";7990 рублей;https://example.com/product181;Пуф кубической формы, обтянутый черной кожей. Размер: 50х50х50 см. Стиль: современный.
332;Настенные часы "Металл";4990 рублей;https://example.com/product182;Часы из металла, форма: квадратная. Размер: 50х50 см. Цвет: серебристый. Стиль: минимализм.
333;Шторы "Тюль";3990 рублей;https://example.com/product183;Прозрачные шторы из тюля, цвет: белый. Размер: 300х250 см. Стиль: классический.
334;Декоративная ваза "Стекло";3490 рублей;https://example.com/product184;Ваза из прозрачного стекла, высота: 50 см. Стиль: универсальный.
335;Тумба "Мини";9990 рублей;https://example.com/product185;Маленькая тумба из дерева, цвет: светлое дерево. Размер: 60х40х50 см. Стиль: скандинавский.
336;Декоративная подставка для украшений;1790 рублей;https://example.com/product186;Подставка для колец и серег из дерева, цвет: светлое дерево. Размер: 20х20х30 см. Стиль: эко.
337;Настенный органайзер "Металл";2990 рублей;https://example.com/product187;Органайзер из металла с тремя полками, цвет: черный. Размер: 40х30х20 см. Стиль: индустриальный.
338;Комод "Мини";12990 рублей;https://example.com/product188;Комод с тремя ящиками из дерева, цвет: орех. Размер: 80х40х80 см. Стиль: классический.
339;Декоративная гирлянда "Звезды";1990 рублей;https://example.com/product189;Гирлянда с подвесными звездами, длина: 3 метра. Стиль: детский.
340;Вешалка "Настенная";6990 рублей;https://example.com/product190;Настенная вешалка из дерева, цвет: темное дерево. Размер: 60х20х10 см. Стиль: современный.
341;Декоративная корзина "Ткань";2490 рублей;https://example.com/product191;Корзина из ткани, цвет: серый. Размер: 50х50х30 см. Стиль: универсальный.
342;Светильник "Настольный";4990 рублей;https://example.com/product192;Настольный светильник из металла, цвет: золотистый. Высота: 40 см. Стиль: современный.
343;Декоративная рамка "Черно-белая";1290 рублей;https://example.com/product193;Рамка для фотографий из пластика, цвет: черно-белый. Размер: 25х35 см. Стиль: минимализм.
344;Плед "Шерсть";5990 рублей;https://example.com/product194;Плед из натуральной шерсти, цвет: бежевый. Размер: 180х220 см. Стиль: классический.
345;Декоративная подушка "Геометрия";1690 рублей;https://example.com/product195;Подушка с геометрическим принтом, размер: 50х50 см. Материал: хлопок. Стиль: современный.
346;Настенный крючок "Металл";990 рублей;https://example.com/product196;Крючок из металла, цвет: черный. Размер: 10х10 см. Стиль: индустриальный.
347;Столик "Угловой";14990 рублей;https://example.com/product197;Угловой столик из дерева, цвет: светлое дерево. Размер: 80х80х80 см. Стиль: классический.
348;Декоративная свеча "Романтика";1490 рублей;https://example.com/product198;Ароматическая свеча в стеклянном стакане, объем: 350 мл. Аромат: роза. Горение до 70 часов.
349;Картина "Город";11990 рублей;https://example.com/product199;Картина маслом на холсте, размер: 100х80 см. Цветовая гамма: серый, черный, белый. Стиль: городской.
350;Пуф "Овал";8990 рублей;https://example.com/product200;Пуф овальной формы, обтянутый бархатом, цвет: бордовый. Размер: 60х40х40 см. Стиль: роскошный.
351;Настенный светильник "Капля";3990 рублей;https://example.com/product201;Светильник из матового стекла в форме капли, цвет: белый. Размер: высота 30 см. Стиль: современный.
352;Декоративная корзина "Ротанг";3290 рублей;https://example.com/product202;Корзина из ротанга натурального цвета, размер: 50х50х40 см. Идеально для хранения игрушек или журналов. Стиль: эко.
353;Панно "Металл";7990 рублей;https://example.com/product203;Металлическое панно с абстрактным узором, размер: 100х60 см. Цвет: черный + золотистый. Стиль: лофт.
354;Подсвечник "Керамика";1990 рублей;https://example.com/product204;Керамический подсвечник в форме чаши, цвет: терракотовый. Высота: 15 см. Стиль: бохо.
355;Журнальный столик "Дерево";15990 рублей;https://example.com/product205;Столик из массива дерева, цвет: темное дерево. Размер: 120х60х40 см. Стиль: классический.
356;Декоративные часы "Стекло";4490 рублей;https://example.com/product206;Настенные часы из прозрачного стекла, диаметр: 80 см. Цифры выполнены в минималистичном стиле. Стиль: современный.
357;Текстильный коврик "Полосы";2990 рублей;https://example.com/product207;Коврик с полосатым узором, размер: 80х150 см. Цвет: серый + белый. Материал: хлопок. Стиль: скандинавский.
358;Ваза "Керамическая";3790 рублей;https://example.com/product208;Ваза из глазурованной керамики, цвет: голубой. Высота: 45 см. Стиль: прованс.
359;Настенный органайзер "Плетеный";3990 рублей;https://example.com/product209;Органайзер из плетеного ротанга, размер: 60х40 см. Подходит для хранения мелочей. Стиль: эко.
360;Комод "Мини-Лофт";17990 рублей;https://example.com/product210;Комод из металла и дерева, цвет: черный + светлое дерево. Размер: 80х40х90 см. Стиль: индустриальный.
361;Декоративная гирлянда "Снежинки";1690 рублей;https://example.com/product211;Гирлянда с подвесными снежинками, длина: 2 метра. Стиль: зимний.
362;Вешалка "Напольная";10990 рублей;https://example.com/product212;Напольная вешалка из металла, цвет: черный. Высота: 180 см. Стиль: современный.
363;Декоративная корзина "Тканевая";2890 рублей;https://example.com/product213;Корзина из ткани, цвет: бежевый. Размер: 40х40х30 см. Стиль: универсальный.
364;Светильник "Подвесной";5990 рублей;https://example.com/product214;Подвесной светильник из металла, цвет: медь. Диаметр: 25 см. Стиль: лофт.
365;Рамка "Деревянная";1190 рублей;https://example.com/product215;Рамка для фотографий из дерева, цвет: светлое дерево. Размер: 20х30 см. Стиль: эко.
366;Плед "Флисовый";3490 рублей;https://example.com/product216;Плед из мягкого флиса, цвет: синий. Размер: 160х220 см. Стиль: универсальный.
367;Декоративная подушка "Узор";1590 рублей;https://example.com/product217;Подушка с этническим узором, размер: 50х50 см. Материал: хлопок. Стиль: бохо.
368;Настенный крючок "Черный";1090 рублей;https://example.com/product218;Крючок из металла, цвет: черный. Размер: 10х10 см. Стиль: минимализм.
369;Столик "Круглый";13990 рублей;https://example.com/product219;Круглый столик из дерева, цвет: орех. Диаметр: 80 см. Высота: 45 см. Стиль: классический.
370;Декоративная свеча "Вечер";1390 рублей;https://example.com/product220;Ароматическая свеча в стеклянном стакане, объем: 300 мл. Аромат: ваниль. Горение до 60 часов.
371;Картина "Цветы";12990 рублей;https://example.com/product221;Картина маслом на холсте, размер: 120х80 см. Цветовая гамма: красный, желтый, зеленый. Стиль: романтичный.
372;Пуф "Мягкий";9990 рублей;https://example.com/product222;Пуф из мягкого текстиля, цвет: серый. Размер: 50х50х40 см. Стиль: современный.
373;Настенные часы "Круг";4990 рублей;https://example.com/product223;Часы круглой формы из металла, диаметр: 70 см. Цвет: золотистый. Стиль: роскошный.
374;Шторы "Шелк";5990 рублей;https://example.com/product224;Шторы из шелка, цвет: бежевый. Размер: 250х300 см. Стиль: классический.
375;Ваза "Стеклянная";3990 рублей;https://example.com/product225;Ваза из прозрачного стекла, высота: 60 см. Стиль: универсальный.
376;Тумба "Мини-Классика";11990 рублей;https://example.com/product226;Тумба из дерева, цвет: орех. Размер: 60х40х50 см. Стиль: классический.
377;Декоративная подставка для украшений;1890 рублей;https://example.com/product227;Подставка для колец и серег из металла, цвет: золотистый. Размер: 20х20х30 см. Стиль: современный.
378;Настенный органайзер "Металлический";3290 рублей;https://example.com/product228;Органайзер из металла с тремя полками, цвет: черный. Размер: 40х30х20 см. Стиль: индустриальный.
379;Комод "Мини-Лофт";14990 рублей;https://example.com/product229;Комод с тремя ящиками из дерева, цвет: светлое дерево. Размер: 80х40х80 см. Стиль: скандинавский.
380;Декоративная гирлянда "Цветы";2190 рублей;https://example.com/product230;Гирлянда с подвесными цветами, длина: 3 метра. Стиль: романтичный.
381;Вешалка "Настенная";7990 рублей;https://example.com/product231;Настенная вешалка из дерева, цвет: темное дерево. Размер: 60х20х10 см. Стиль: современный.
382;Декоративная корзина "Ткань";2690 рублей;https://example.com/product232;Корзина из ткани, цвет: серый. Размер: 50х50х30 см. Стиль: универсальный.
383;Светильник "Настольный";5490 рублей;https://example.com/product233;Настольный светильник из металла, цвет: золотистый. Высота: 40 см. Стиль: современный.
384;Рамка "Черно-белая";1390 рублей;https://example.com/product234;Рамка для фотографий из пластика, цвет: черно-белый. Размер: 25х35 см. Стиль: минимализм.
385;Плед "Шерсть";6490 рублей;https://example.com/product235;Плед из натуральной шерсти, цвет: бежевый. Размер: 180х220 см. Стиль: классический.
386;Декоративная подушка "Геометрия";1790 рублей;https://example.com/product236;Подушка с геометрическим принтом, размер: 50х50 см. Материал: хлопок. Стиль: современный.
387;Настенный крючок "Металл";1190 рублей;https://example.com/product237;Крючок из металла, цвет: черный. Размер: 10х10 см. Стиль: индустриальный.
388;Столик "Угловой";15990 рублей;https://example.com/product238;Угловой столик из дерева, цвет: светлое дерево. Размер: 80х80х80 см. Стиль: классический.
389;Декоративная свеча "Романтика";1590 рублей;https://example.com/product239;Ароматическая свеча в стеклянном стакане, объем: 350 мл. Аромат: роза. Горение до 70 часов.
390;Картина "Город";12990 рублей;https://example.com/product240;Картина маслом на холсте, размер: 100х80 см. Цветовая гамма: серый, черный, белый. Стиль: городской.
391;Пуф "Овал";9990 рублей;https://example.com/product241;Пуф овальной формы, обтянутый бархатом, цвет: бордовый. Размер: 60х40х40 см. Стиль: роскошный.
392;Настенный светильник "Капля";4190 рублей;https://example.com/product242;Светильник из матового стекла в форме капли, цвет: белый. Размер: высота 30 см. Стиль: современный.
393;Декоративная корзина "Ротанг";3490 рублей;https://example.com/product243;Корзина из ротанга натурального цвета, размер: 50х50х40 см. Идеально для хранения игрушек или журналов. Стиль: эко.
394;Панно "Металл";8190 рублей;https://example.com/product244;Металлическое панно с абстрактным узором, размер: 100х60 см. Цвет: черный + золотистый. Стиль: лофт.
395;Подсвечник "Керамика";2190 рублей;https://example.com/product245;Керамический подсвечник в форме чаши, цвет: терракотовый. Высота: 15 см. Стиль: бохо.
396;Журнальный столик "Дерево";16190 рублей;https://example.com/product246;Столик из массива дерева, цвет: темное дерево. Размер: 120х60х40 см. Стиль: классический.
397;Декоративные часы "Стекло";4690 рублей;https://example.com/product247;Настенные часы из прозрачного стекла, диаметр: 80 см. Цифры выполнены в минималистичном стиле. Стиль: современный.
398;Текстильный коврик "Полосы";3190 рублей;https://example.com/product248;Коврик с полосатым узором, размер: 80х150 см. Цвет: серый + белый. Материал: хлопок. Стиль: скандинавский.
399;Ваза "Керамическая";3990 рублей;https://example.com/product249;Ваза из глазурованной керамики, цвет: голубой. Высота: 45 см. Стиль: прованс.
400;Настенный органайзер "Плетеный";4190 рублей;https://example.com/product250;Органайзер из плетеного ротанга, размер: 60х40 см. Подходит для хранения мелочей. Стиль: эко.
